2026-04-04 16:19:48 | INFO     | service.voiceover_service | → generate_voiceover() [IN]  voice='af_sarah', script_preview='Wait — this girl just came to life from the wall. Spray paint, neon lights, pure', cta='Siguenos en @aireels y visita aireels.com para mas.'
2026-04-04 16:19:48 | DEBUG    | service.voiceover_service | → generate_voiceover() [IN] FULL  voice='af_sarah', script_preview='Wait — this girl just came to life from the wall. Spray paint, neon lights, pure', cta='Siguenos en @aireels y visita aireels.com para mas.'
2026-04-04 16:19:48 | INFO     | service.voiceover_service | → submit_tts_task() [IN]  voice='af_sarah', text_preview='Wait — this girl just came to life from the wall. Spray paint, neon lights, pure'
2026-04-04 16:19:48 | DEBUG    | service.voiceover_service | → submit_tts_task() [IN] FULL  voice='af_sarah', text_preview='Wait — this girl just came to life from the wall. Spray paint, neon lights, pure'
2026-04-04 16:19:48 | INFO     | service.voiceover_service | ← submit_tts_task() [OUT]  request_id='019d5acb-a4cc-7e60-b488-e906c765303f', status_url='https://queue.fal.run/fal-ai/kokoro/requests/019d5acb-a4cc-7e60-b488-e906c765303f/status'
2026-04-04 16:19:48 | DEBUG    | service.voiceover_service | ← submit_tts_task() [OUT] FULL  request_id='019d5acb-a4cc-7e60-b488-e906c765303f', status_url='https://queue.fal.run/fal-ai/kokoro/requests/019d5acb-a4cc-7e60-b488-e906c765303f/status'
2026-04-04 16:19:48 | INFO     | service.voiceover_service | → poll_tts_task() [IN]  request_id='019d5acb-a4cc-7e60-b488-e906c765303f'
2026-04-04 16:19:48 | DEBUG    | service.voiceover_service | → poll_tts_task() [IN] FULL  request_id='019d5acb-a4cc-7e60-b488-e906c765303f'
2026-04-04 16:19:49 | INFO     | service.voiceover_service | • poll_tts_task() [INFO]  request_id='019d5acb-a4cc-7e60-b488-e906c765303f', status='IN_QUEUE', elapsed_s=0
2026-04-04 16:19:49 | DEBUG    | service.voiceover_service | • poll_tts_task() [INFO] FULL  request_id='019d5acb-a4cc-7e60-b488-e906c765303f', status='IN_QUEUE', elapsed_s=0
2026-04-04 16:19:52 | INFO     | service.voiceover_service | • poll_tts_task() [INFO]  request_id='019d5acb-a4cc-7e60-b488-e906c765303f', status='IN_QUEUE', elapsed_s=3
2026-04-04 16:19:52 | DEBUG    | service.voiceover_service | • poll_tts_task() [INFO] FULL  request_id='019d5acb-a4cc-7e60-b488-e906c765303f', status='IN_QUEUE', elapsed_s=3
2026-04-04 16:19:55 | INFO     | service.voiceover_service | • poll_tts_task() [INFO]  request_id='019d5acb-a4cc-7e60-b488-e906c765303f', status='IN_QUEUE', elapsed_s=7
